,Year,SOU_Text_trust,SOU_Text_fear,SOU_Text_negative,SOU_Text_sadness,SOU_Text_anger,SOU_Text_surprise,SOU_Text_positive,SOU_Text_disgust,SOU_Text_joy,SOU_Text_anticipation,Lyrics_Text_trust,Lyrics_Text_fear,Lyrics_Text_negative,Lyrics_Text_sadness,Lyrics_Text_anger,Lyrics_Text_surprise,Lyrics_Text_positive,Lyrics_Text_disgust,Lyrics_Text_joy,Lyrics_Text_anticipation,Headline_Text_trust,Headline_Text_fear,Headline_Text_negative,Headline_Text_sadness,Headline_Text_anger,Headline_Text_surprise,Headline_Text_positive,Headline_Text_disgust,Headline_Text_joy,Headline_Text_anticipation
0,1950,0.42789223454833597,0.13787638668779714,0.16323296354992076,0.07290015847860538,0.06339144215530904,0.06497622820919176,0.6798732171156894,0.0554675118858954,0.19968304278922344,0.22979397781299524,0.2621145374449339,0.16299559471365638,0.2621145374449339,0.23348017621145375,0.09030837004405286,0.12555066079295155,0.6167400881057269,0.10572687224669604,0.40969162995594716,0.22246696035242292,0.30624290578887625,0.22366628830874008,0.3500567536889898,0.12741203178206584,0.18269012485811578,0.07849035187287173,0.43541430192962544,0.0507377979568672,0.1101589103291714,0.23961407491486947
1,1951,0.3425925925925926,0.2638888888888889,0.2361111111111111,0.06712962962962964,0.19907407407407407,0.07175925925925926,0.6134259259259259,0.04861111111111111,0.1574074074074074,0.22916666666666666,0.23061430010070494,0.1379657603222558,0.3076535750251762,0.1309164149043303,0.36555891238670696,0.27794561933534745,0.3826787512588117,0.148539778449144,0.19133937562940584,0.18882175226586104,0.3100368157402378,0.2367674572997767,0.360854608002897,0.13326090892630815,0.19964994869937835,0.07332971211298207,0.42911461162411735,0.056853159514756474,0.11467197778984851,0.23368942000120707
2,1952,0.34335443037974683,0.22943037974683544,0.24525316455696203,0.08227848101265822,0.1629746835443038,0.08702531645569621,0.5981012658227848,0.07278481012658228,0.1661392405063291,0.254746835443038,0.22758620689655173,0.17586206896551723,0.41379310344827586,0.2517241379310345,0.16551724137931034,0.1724137931034483,0.46551724137931033,0.11379310344827587,0.28620689655172415,0.32068965517241377,0.3263858093126386,0.2253405131453912,0.35318340196388975,0.1343680709534368,0.19005384859043395,0.07906240101362053,0.43725055432372506,0.05600253405131454,0.12283813747228381,0.22686094393411466
3,1953,0.4276243093922652,0.16574585635359115,0.21878453038674034,0.06408839779005525,0.09171270718232044,0.0718232044198895,0.5977900552486188,0.03867403314917127,0.16132596685082873,0.20331491712707184,0.2920080979465921,0.15010122433240142,0.302323339438928,0.1445097850187988,0.12011954111635978,0.10912947074134773,0.5593367396124554,0.08512484334329509,0.21517400944760437,0.2236575725441049,0.32567663817663817,0.2174738841405508,0.34716286799620133,0.14061016144349478,0.1908831908831909,0.0754985754985755,0.4408831908831909,0.05478395061728395,0.12375356125356125,0.2361111111111111
4,1954,0.40024479804161567,0.1701346389228886,0.20685434516523868,0.08078335373317014,0.08935128518971848,0.06119951040391677,0.602203182374541,0.042839657282741736,0.14687882496940025,0.22766217870257038,0.24367088607594936,0.23734177215189872,0.310126582278481,0.25949367088607594,0.16455696202531644,0.12974683544303797,0.5189873417721519,0.08227848101265822,0.39556962025316456,0.22784810126582278,0.32539737149934633,0.19927062547306132,0.3444574416844423,0.1395444849652515,0.1795912750292438,0.07899263744581297,0.44092754420972957,0.05036812770935113,0.11711277781600496,0.24427165760682584
5,1955,0.4137254901960784,0.17450980392156862,0.20098039215686275,0.07647058823529412,0.08529411764705883,0.059803921568627454,0.6480392156862745,0.045098039215686274,0.17647058823529413,0.24411764705882352,0.19911504424778761,0.168141592920354,0.3112094395280236,0.18584070796460178,0.1224188790560472,0.11061946902654868,0.5486725663716814,0.08702064896755163,0.3023598820058997,0.2536873156342183,0.3224469377545916,0.2051025512756378,0.3253769742013864,0.13027942542699922,0.16265275494890302,0.07946830558136211,0.45665689987851066,0.04580861859501179,0.1224898163367398,0.23390266561852355
6,1956,,,,,,,,,,,0.2552083333333333,0.17083333333333334,0.27291666666666664,0.203125,0.13958333333333334,0.11979166666666667,0.5770833333333333,0.12291666666666666,0.40520833333333334,0.22916666666666666,0.31490588434797356,0.20875021197218924,0.33514216268158953,0.13051834266010967,0.1721779435871347,0.07659261771522242,0.4424283534000339,0.045955570629133455,0.1103385902436267,0.22932564580860323
7,1957,0.43902439024390244,0.16135084427767354,0.21388367729831145,0.058161350844277676,0.08630393996247655,0.06191369606003752,0.600375234521576,0.06941838649155722,0.15384615384615385,0.18761726078799248,0.23356401384083045,0.18771626297577854,0.2768166089965398,0.24567474048442905,0.14619377162629757,0.13667820069204153,0.5467128027681661,0.10726643598615918,0.44809688581314877,0.25259515570934254,0.31811304441802657,0.2072841240678699,0.3165459850859181,0.12352750459310494,0.16940451745379878,0.07721819950286393,0.44639576353615046,0.04614719550416081,0.1076948016859397,0.22808818761482763
8,1958,0.36378205128205127,0.1955128205128205,0.19391025641025642,0.0641025641025641,0.11378205128205128,0.06570512820512821,0.6362179487179487,0.04487179487179487,0.1778846153846154,0.20512820512820512,0.2481060606060606,0.16571969696969696,0.3210227272727273,0.20265151515151514,0.13352272727272727,0.11174242424242424,0.5577651515151515,0.09943181818181818,0.4081439393939394,0.2206439393939394,0.31033511686848775,0.20008448324415656,0.3273021684032667,0.13066741762883693,0.16988172345818078,0.0816671360180231,0.44557871022247253,0.04716981132075472,0.11440439312869614,0.2392283863700366
9,1959,0.38449612403100775,0.17364341085271318,0.18449612403100776,0.06201550387596899,0.07286821705426356,0.04961240310077519,0.6046511627906976,0.06046511627906977,0.16124031007751938,0.22015503875968992,0.20196604110813227,0.18453976764968721,0.306076854334227,0.19794459338695264,0.14745308310991956,0.13360142984807863,0.5084897229669347,0.11394101876675604,0.35969615728328863,0.25335120643431636,0.3163613123135918,0.182005396960659,0.3148700468683426,0.1217866780286891,0.15672489703167164,0.08585428206220708,0.46129811106376933,0.04438290015622781,0.12455617099843772,0.24705297542962648
