,Year,anger_lyrics,disgust_lyrics,fear_lyrics,negative_lyrics,sadness_lyrics,positive_lyrics,joy_lyrics,trust_lyrics,anticipation_lyrics,surprise_lyrics,positive_stateofunion,trust_stateofunion,anticipation_stateofunion,joy_stateofunion,surprise_stateofunion,negative_stateofunion,disgust_stateofunion,fear_stateofunion,anger_stateofunion,sadness_stateofunion
0,1950,0.8061125290076531,0.7392708464576957,1.8035423510717787,2.907021189365086,2.92055593762525,8.324094833856016,5.83462839205905,3.261403218556534,3.1491147257366596,1.6877463133072237,10.168506682161533,6.682161533991865,3.6219252372651556,3.3507650590741815,1.1233778810768933,2.6147588611272514,0.852217702885919,2.1692814255277937,0.9877977919814062,1.2395893860158822
1,1951,1.9667267546741456,1.2913378055253095,1.6298082232092268,2.514248760077733,3.092786736473982,7.4709919205740976,4.93710933854697,2.612074341650251,1.8971761051026086,1.4716252892720818,8.380999751305646,4.824670479980105,3.1584183039045013,2.287988062670977,1.0693857249440437,3.5811987067893556,0.770952499378264,3.780154190499876,2.8351156428749067,1.1688634667993036
2,1952,2.304667045726465,1.8057553926963894,2.3499111128579457,6.557106092752599,4.316022858276103,6.0357726765654,4.345306974862584,2.932387467432234,4.846171838663576,2.4636592090639464,8.756016290262865,5.164753794890782,3.6467974824139207,2.5360977415771937,1.1477230655312847,3.683820807108478,1.036653091447612,3.461680858941133,2.3694927804516848,1.1662347278785634
3,1953,1.7002553012303918,1.7416759583011396,1.7769851069485074,3.0943400714443556,2.5741930467750387,5.619311001217159,3.8238554595223566,3.3884391322629774,2.8277167067437987,1.220159687646227,9.054612861828033,7.0440610295166115,3.1085127620134037,2.4098103522030514,1.069442463995437,3.5933266790246687,0.6559247112505346,2.694995009268501,1.440182518180522,1.1407386282617995
4,1954,1.4667679471767763,0.8510218763778931,2.349731687466903,3.1776396397554207,2.5643550237495467,5.312746801103197,4.152410458914274,2.5431460388565976,2.5638343765568625,1.3844249831812347,9.622049843208451,6.667766958243934,3.68047532596138,2.5416735434890243,0.9902624195411784,3.614457831325301,0.7096880673378445,2.871761016669417,1.419376134675689,1.3038455190625515
5,1955,1.6496298898565651,1.4163345034665258,2.3167262969113316,4.122290577652745,2.8124266942004077,7.118607172804433,4.498449573731159,2.5905901968022844,3.5273013934021997,1.187819309404283,10.634812286689419,7.344709897610921,4.150170648464164,3.1399317406143346,0.9965870307167236,3.535836177474403,0.9146757679180887,3.044368600682594,1.4744027303754266,1.310580204778157
6,1957,1.5760832655614134,1.0906824617220656,2.093654927372132,3.065161441573398,2.8755269759691418,6.8550400743462125,5.796010761520425,2.894579146092176,3.2013152745437337,1.6886463753023397,9.665071770334928,7.081339712918661,3.0861244019138754,2.7033492822966507,1.0526315789473684,3.3971291866028706,1.1004784688995215,2.631578947368421,1.3636363636363635,0.9569377990430622
7,1958,1.5376876331101377,1.0197619027240685,1.8173568182642386,3.7145301988380606,2.3300591699818263,6.558859781102107,5.080260239092762,2.96529876244572,2.7694766728668414,1.4338308519945393,10.096540627514079,6.295253419147224,3.399034593724859,2.8962188254223653,0.9855189058728882,3.197908286403862,0.7642799678197908,3.258246178600161,1.7095736122284793,1.0860820595333869
8,1959,1.4320566424596126,1.1498798315558683,1.7910355078203908,2.9136198447955333,2.3179297235967975,5.802221982615997,4.461256567838751,2.2092895196312923,2.945527705169615,1.3993539603347291,9.764846552411319,6.556396970904743,3.507373455559984,2.82981267437226,0.8369868473495418,3.268234356317258,1.0362694300518136,2.9294539657233956,1.3551215623754485,1.1359107214029494
9,1960,1.4941845791257187,1.138869876801706,1.8062326151902022,2.887793330381192,2.1042099906385436,6.980154803628629,5.4887067071141304,3.2525570585846477,3.4846953929675726,2.1243666543134427,9.01610644257703,6.23249299719888,3.431372549019608,2.8361344537815127,1.0329131652661063,3.168767507002801,0.7528011204481793,2.3634453781512605,1.5406162464985995,1.2254901960784315
10,1961,1.5125860080156883,0.9476330384622714,1.5216863539747778,3.4804274899935765,2.9061724788371293,6.003704640276875,4.999234369934851,2.90517220250402,3.213834561773954,1.4786570141492181,8.615500376222723,5.285929270127916,3.4048156508653125,2.3325808878856282,0.9405568096313018,4.063205417607223,1.072234762979684,2.708803611738149,1.617757712565839,1.5237020316027088
11,1962,1.982891189868865,1.077644821528468,1.790279598207838,2.644987503414169,2.3471928719224993,6.8982125486550245,5.331792043222206,2.9485973999500867,3.0745929514987758,2.380061913125107,8.681285671372784,5.962751577050166,3.6497446680684895,2.7485731450886153,1.036347251426855,3.634725142685491,1.0063082006608592,2.5232802643436467,1.4568939621507961,1.4118353860018025
12,1963,1.5139028236572378,1.0463188621314,1.5377693645096115,3.1507507070513663,2.613878084403122,5.979652810605397,4.667111966471528,2.339611120060864,2.404865806357149,1.5472225834232687,8.51063829787234,5.906089508437271,4.163609684519443,3.0997798972854,1.2289068231841525,3.998532648569332,0.917094644167278,2.8429933969185623,1.7424798239178283,1.9075568598679384
